Token: EMPTY         Lexema: empty            
Token: SEPARADOR     Lexema: ~                
Token: MAIN          Lexema: __main__         
Token: PARENTESIS_APERTURA Lexema: <|               
Token: PARENTESIS_CIERRE Lexema: |>               
Token: ABRIR_BLOQUE  Lexema: |:               
Token: INT           Lexema: int              
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: x                
Token: FIN_SENTENCIA Lexema: !                
Token: INT           Lexema: int              
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: a                
Token: ASIGNACION    Lexema: <-               
Token: TRUE          Lexema: true             
Token: FIN_SENTENCIA Lexema: !                
Token: BOOL          Lexema: bool             
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: b                
Token: ASIGNACION    Lexema: <-               
Token: ENTERO        Lexema: 5                
Token: FIN_SENTENCIA Lexema: !                
Token: CHAR          Lexema: char             
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: c                
Token: FIN_SENTENCIA Lexema: !                
Token: ID            Lexema: y                
Token: ASIGNACION    Lexema: <-               
Token: ENTERO        Lexema: 3                
Token: FIN_SENTENCIA Lexema: !                
Token: COUT          Lexema: cout             
Token: PARENTESIS_APERTURA Lexema: <|               
Token: ID            Lexema: z                
Token: PARENTESIS_CIERRE Lexema: |>               
Token: FIN_SENTENCIA Lexema: !                
Token: CIN           Lexema: cin              
Token: PARENTESIS_APERTURA Lexema: <|               
Token: ID            Lexema: c                
Token: PARENTESIS_CIERRE Lexema: |>               
Token: FIN_SENTENCIA Lexema: !                
Token: INT           Lexema: int              
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: cond             
Token: ASIGNACION    Lexema: <-               
Token: ENTERO        Lexema: 1                
Token: FIN_SENTENCIA Lexema: !                
Token: IF            Lexema: if               
Token: PARENTESIS_APERTURA Lexema: <|               
Token: ID            Lexema: cond             
Token: PARENTESIS_CIERRE Lexema: |>               
Token: ABRIR_BLOQUE  Lexema: |:               
Token: INT           Lexema: int              
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: ok               
Token: ASIGNACION    Lexema: <-               
Token: ENTERO        Lexema: 1                
Token: FIN_SENTENCIA Lexema: !                
Token: CERRAR_BLOQUE Lexema: :|               
Token: INT           Lexema: int              
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: mat              
Token: ABRIR_PARENTESIS_CUADRADO Lexema: <<               
Token: ENTERO        Lexema: 3                
Token: CERRAR_PARENTESIS_CUADRADO Lexema: >>               
Token: ABRIR_PARENTESIS_CUADRADO Lexema: <<               
Token: ENTERO        Lexema: 3                
Token: CERRAR_PARENTESIS_CUADRADO Lexema: >>               
Token: FIN_SENTENCIA Lexema: !                
Token: ID            Lexema: mat              
Token: ABRIR_PARENTESIS_CUADRADO Lexema: <<               
Token: FLOTANTE      Lexema: 1.5              
Token: CERRAR_PARENTESIS_CUADRADO Lexema: >>               
Token: ABRIR_PARENTESIS_CUADRADO Lexema: <<               
Token: ENTERO        Lexema: 0                
Token: CERRAR_PARENTESIS_CUADRADO Lexema: >>               
Token: ASIGNACION    Lexema: <-               
Token: ENTERO        Lexema: 1                
Token: FIN_SENTENCIA Lexema: !                
Token: INT           Lexema: int              
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: k                
Token: ASIGNACION    Lexema: <-               
Token: TRUE          Lexema: true             
Token: SUMA          Lexema: +                
Token: ENTERO        Lexema: 1                
Token: FIN_SENTENCIA Lexema: !                
Token: BREAK         Lexema: break            
Token: FIN_SENTENCIA Lexema: !                
Token: RETURN        Lexema: return           
Token: SEPARADOR     Lexema: ~                
Token: ENTERO        Lexema: 1                
Token: FIN_SENTENCIA Lexema: !                
Token: INT           Lexema: int              
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: x                
Token: ASIGNACION    Lexema: <-               
Token: ENTERO        Lexema: 5                
Token: FIN_SENTENCIA Lexema: !                
Token: FLOAT         Lexema: float            
Token: SEPARADOR     Lexema: ~                
Token: ID            Lexema: f11              
Token: ASIGNACION    Lexema: <-               
Token: FLOTANTE      Lexema: 56.6             
Token: DIVISION_ENTERA Lexema: //               
Token: ENTERO        Lexema: 8                
Token: FIN_SENTENCIA Lexema: !                
Token: CERRAR_BLOQUE Lexema: :|               
